,Year,Life expectancy,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles,BMI,under-five deaths,Polio,Total expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness  1-19 years,thinness 5-9 years,Income composition of resources,Schooling,Status_Developed,Status_Developing
0,2015,65.0,5.575949103146316,4.143134726391533,0.009950330853168083,4.280542258460885,4.189654742026425,7.051855622955894,3.0007198150650303,4.430816798843313,1.9459101490553132,2.214846178686039,4.189654742026425,0.09531017980432487,6.372054843111785,17.33409074705403,2.9014215940827497,2.9069010598473755,0.3913661837286628,10.1,0,1
1,2014,59.9,5.605802066295998,4.174387269895637,0.009950330853168083,4.311115607917084,4.143134726391533,6.20050917404269,2.975529566236472,4.465908118654584,4.07753744390572,2.217027204632399,4.143134726391533,0.09531017980432487,6.419500529079097,12.699496737062693,2.917770732084279,2.917770732084279,0.3893357261782807,10.0,0,1
2,2013,59.9,5.594711379601839,4.204692619390966,0.009950330853168083,4.307023452400663,4.174387269895637,6.066108090103747,2.9496883350525844,4.499809670330265,4.143134726391533,2.211565694606877,4.174387269895637,0.09531017980432487,6.450067459449026,17.272826392524035,2.928523523860541,2.928523523860541,0.3852624007906449,9.9,0,1
3,2012,59.5,5.60947179518496,4.248495242049359,0.009950330853168083,4.371776977189467,4.219507705176107,7.933079771880415,2.9231615807191558,4.543294782270004,4.219507705176107,2.253394848803274,4.219507705176107,0.09531017980432487,6.508708032273233,15.123021147784241,2.9391619220655967,2.9444389791664403,0.38048912203798724,9.8,0,1
4,2011,59.2,5.62040086571715,4.276666119016055,0.009950330853168083,2.091507047709576,4.23410650459726,8.01102337918644,2.9014215940827497,4.584967478670572,4.23410650459726,2.1826747963214883,4.23410650459726,0.09531017980432487,4.16724228207777,14.906963949433905,2.954910279033736,2.954910279033736,0.37431837911132765,9.5,0,1
5,2010,58.8,5.634789603169249,4.31748811353631,0.009950330853168083,4.39048287170673,4.204692619390966,7.595889917718538,2.8735646395797834,4.634728988229636,4.204692619390966,2.322387720290225,4.204692619390966,0.09531017980432487,6.317758265057453,14.87440024755543,2.9652730660692823,2.9652730660692823,0.3701832939635247,9.2,0,1
6,2009,58.6,5.641907070938114,4.356708826689592,0.009950330853168083,4.056334873695729,4.1588830833596715,7.959275960116396,2.8449093838194073,4.672828834461906,4.1588830833596715,2.343727036325221,4.1588830833596715,0.09531017980432487,6.1023198589596435,12.557897848462941,2.975529566236472,2.9806186357439426,0.3604677421774286,8.9,0,1
7,2008,58.1,5.662960480135946,4.394449154672439,0.0295588022415444,3.2911564990436903,4.174387269895637,7.3777589082278725,2.8154087194227095,4.709530201312334,4.174387269895637,2.2332350148592526,4.174387269895637,0.09531017980432487,5.925220883173701,14.819604086905889,2.9856819377004897,2.990719731730447,0.35977014884603475,8.7,0,1
8,2007,57.5,5.69035945432406,4.418840607796598,0.019802627296179712,2.4773914798389645,4.1588830833596715,7.040536390215956,2.785011242238338,4.736198448394496,4.1588830833596715,2.0451088625993306,4.1588830833596715,0.09531017980432487,5.9157593662491115,17.09705289034542,2.995732273553991,3.0007198150650303,0.3471295310952009,8.4,0,1
9,2006,57.3,5.69035945432406,4.442651256490317,0.0295588022415444,2.89985539625697,4.174387269895637,7.596392304064196,2.7536607123542622,4.762173934797756,4.07753744390572,2.131796772013764,4.07753744390572,0.09531017980432487,5.611534757389504,14.76691589213728,3.005682604407159,3.0106208860477417,0.3400373027857091,8.1,0,1
